種類,農產品,品種名稱,縣市,行政區,盛產月份
水果,椪柑,,苗栗縣,卓蘭鎮,1
水果,椪柑,,台中市,東勢區,1
水果,椪柑,,雲林縣,古坑鄉,1
水果,椪柑,,嘉義縣,番路鄉,1
水果,椪柑,,嘉義縣,梅山鄉,1
水果,椪柑,,嘉義縣,竹崎鄉,1
水果,椪柑,,台南市,東山區,1
水果,番荔枝,大麟種、軟枝種,台南市,歸仁區,1
水果,番荔枝,大麟種、軟枝種,台東縣,太麻里鄉,1
水果,番荔枝,大麟種、軟枝種,台東縣,卑南鄉,1
水果,番荔枝,大麟種、軟枝種,台東縣,東河鄉,1
水果,番荔枝,大麟種、軟枝種,台東縣,台東市,1
水果,番荔枝,鳳梨釋迦,台東縣,台東市,1
水果,番荔枝,鳳梨釋迦,台東縣,東河鄉,1
水果,番荔枝,鳳梨釋迦,台東縣,卑南鄉,1
水果,番荔枝,鳳梨釋迦,台東縣,太麻里鄉,1
水果,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,苗栗縣,卓蘭鎮,1
水果,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,台南市,楠西區,1
水果,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,屏東縣,里港鄉,1
水果,番石榴,珍珠種、世紀種,彰化縣,社頭鄉,1
水果,番石榴,珍珠種、世紀種,彰化縣,溪州鄉,1
水果,番石榴,珍珠種、世紀種,台南市,玉井區,1
水果,番石榴,珍珠種、世紀種,台南市,楠西區,1
水果,番石榴,珍珠種、世紀種,高雄市,大社區,1
水果,番石榴,珍珠種、世紀種,高雄市,阿蓮區,1
水果,番石榴,珍珠種、世紀種,高雄市,燕巢區,1
水果,柳橙,,南投縣,中寮鄉,1
水果,柳橙,,雲林縣,斗南鎮,1
水果,柳橙,,雲林縣,古坑鄉,1
水果,柳橙,,嘉義縣,番路鄉,1
水果,柳橙,,嘉義縣,梅山鄉,1
水果,柳橙,,嘉義縣,竹崎鄉,1
水果,柳橙,,嘉義縣,中埔鄉,1
水果,柳橙,,嘉義縣,民雄鄉,1
水果,柳橙,,嘉義縣,大林鎮,1
水果,柳橙,,台南市,白河區,1
水果,柳橙,,台南市,六甲區,1
水果,柳橙,,台南市,大內區,1
水果,柳橙,,台南市,南化區,1
水果,柳橙,,台南市,官田區,1
水果,蓮霧,粉紅種及大粒種,高雄市,六龜區,1
水果,蓮霧,粉紅種及大粒種,屏東縣,新埤鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,南州鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,林邊鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,佳冬鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,枋寮鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,高樹鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,鹽埔鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,長治鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,麟洛鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,內埔鄉,1
水果,蓮霧,粉紅種及大粒種,屏東縣,潮州鎮,1
水果,香蕉,北蕉及新北蕉,南投縣,中寮鄉,1
水果,香蕉,北蕉及新北蕉,南投縣,南投市,1
水果,香蕉,北蕉及新北蕉,南投縣,國姓鄉,1
水果,香蕉,北蕉及新北蕉,南投縣,水里鄉,1
水果,香蕉,北蕉及新北蕉,高雄市,美濃區,1
水果,香蕉,北蕉及新北蕉,高雄市,旗山區,1
水果,香蕉,北蕉及新北蕉,屏東縣,高樹鄉,1
水果,香蕉,北蕉及新北蕉,屏東縣,新埤鄉,1
水果,香蕉,北蕉及新北蕉,屏東縣,里港鄉,1
水果,木瓜,台農2號,南投縣,草屯鎮,1
水果,木瓜,台農2號,雲林縣,林內鄉,1
水果,木瓜,台農2號,嘉義縣,中埔鄉,1
水果,木瓜,台農2號,台南市,南化區,1
水果,木瓜,台農2號,台南市,大內區,1
水果,木瓜,台農2號,台南市,玉井區,1
水果,木瓜,台農2號,台南市,楠西區,1
水果,木瓜,台農2號,高雄市,美濃區,1
水果,木瓜,台農2號,屏東縣,新埤鄉,1
水果,木瓜,台農2號,屏東縣,萬巒鄉,1
水果,木瓜,台農2號,屏東縣,長治鄉,1
水果,桶柑,,新北市,三峽區,1
水果,桶柑,,新北市,新店區,1
水果,桶柑,,新竹縣,峨眉鄉,1
水果,桶柑,,台中市,和平區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,台南市,玉井區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,台南市,南化區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,高雄市,大社區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,高雄市,岡山區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,高雄市,阿蓮區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,屏東縣,燕巢區,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,屏東縣,高樹鄉,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,屏東縣,鹽埔鄉,1
水果,印度棗,蜜棗、台農1號、翠蜜、天蜜、高雄2號、高雄3號,屏東縣,里港鄉,1
水果,茂谷柑,,台中市,東勢區,1
水果,茂谷柑,,南投縣,水里鄉,1
水果,茂谷柑,,雲林縣,古坑鄉,1
水果,茂谷柑,,雲林縣,斗六市,1
水果,茂谷柑,,嘉義縣,竹崎鄉,1
水果,茂谷柑,,嘉義縣,梅山鄉,1
水果,海梨柑,,新竹縣,新埔鎮,1
水果,海梨柑,,新竹縣,關西鎮,1
水果,海梨柑,,新竹縣,芎林鄉,1
水果,海梨柑,,新竹縣,橫山鄉,1
水果,海梨柑,,苗栗縣,卓蘭鎮,1
水果,葡萄,巨峰,苗栗縣,卓蘭鎮,1
水果,葡萄,巨峰,台中市,東勢區,1
水果,葡萄,巨峰,台中市,新社區,1
水果,葡萄,巨峰,台中市,豐原區,1
水果,葡萄,巨峰,台中市,石岡區,1
水果,葡萄,巨峰,彰化縣,埔心鄉,1
水果,葡萄,巨峰,彰化縣,大村鄉,1
水果,葡萄,巨峰,彰化縣,員林鎮,1
水果,葡萄,巨峰,彰化縣,溪湖鎮,1
水果,葡萄,巨峰,南投縣,水里鄉,1
水果,葡萄,巨峰,南投縣,信義鄉,1
水果,葡萄,巨峰,南投縣,竹山鎮,1
水果,葡萄,蜜紅,彰化縣,埔心鄉,1
水果,葡萄,蜜紅,彰化縣,大村鄉,1
水果,金柑,長實金柑,彰化縣,二林鎮,1
水果,金柑,長實金柑,宜蘭縣,礁溪鄉,1
水果,金柑,長實金柑,宜蘭縣,員山鄉,1
水果,金柑,長實金柑,宜蘭縣,冬山鄉,1
水果,番荔枝,大麟種、軟枝種,台南市,歸仁區,2
水果,番荔枝,大麟種、軟枝種,台東縣,太麻里鄉,2
水果,番荔枝,大麟種、軟枝種,台東縣,卑南鄉,2
水果,番荔枝,大麟種、軟枝種,台東縣,東河鄉,2
水果,番荔枝,大麟種、軟枝種,台東縣,台東市,2
水果,番荔枝,鳳梨釋迦,台東縣,台東市,2
水果,番荔枝,鳳梨釋迦,台東縣,東河鄉,2
水果,番荔枝,鳳梨釋迦,台東縣,卑南鄉,2
水果,番荔枝,鳳梨釋迦,台東縣,太麻里鄉,2
水果,枇杷,茂木種,台中市,新社區,2
水果,枇杷,茂木種,台中市,太平區,2
水果,楊桃,馬來種、二林種、秤錘種、青乾種、紅龍、台農2號,苗栗縣,卓蘭鎮,2
